leaf_categ_id,LEAF_CATEG_NAME
1464,"Clothing, Shoes & Accessories:Vintage:Vintage Accessories:Umbrellas & Parasols"
1481,Computers & Networking:Computer Components:Memory:PC Desktop Memory:RAM
1486,Computers & Networking:Networking & Communications:Workstations & Terminals
1493,"Sporting Goods:Fishing:Baits, Lures & Flies:Spinners & Spinnerbaits"
1494,Sporting Goods:Outdoor Sports:Fishing:Freshwater Fishing:Reels:Other:
1495,Sporting Goods:Outdoor Sports:Fishing:Freshwater Fishing:Rods:Other:
1496,Toys & Hobbies:Beanbag Plush:Ty:Trading Cards
1498,Consumer Electronics:Vehicle Electronics & GPS:Other Vehicle Electronics
1503,Consumer Electronics:Home Telephones & Accessories:Other Home Telephones
1504,Business & Industrial:Electrical & Test Equipment:Test Equipment:Other Test Equipment
1506,Computers & Networking:Software:Internet Related Utilities:Auction Utilities
1510,"Home & Garden:Yard, Garden & Outdoor Living:Flowers, Trees & Plants:Houseplants"
1512,"Home & Garden:Yard, Garden & Outdoor Living:Flowers, Trees & Plants:Vegetables & Fruits:Seeds & Bulbs"
1514,Sporting Goods:Golf:Golf Accessories:Other Golf Accessories
1521,"Sporting Goods:Exercise & Fitness:Gym, Workout & Yoga:Other"
1522,"Toys & Hobbies:Beanbag Plush:Bammers, Bamm Beanos"
1524,"Toys & Hobbies:TV, Movie & Character Toys:Pokemon"
1540,Dolls & Bears:Bears:Merrythought
1556,Toys & Hobbies:Model Railroads & Trains:HO Scale:Hornby
1557,Toys & Hobbies:Model Railroads & Trains:HO Scale:Marklin
1558,Toys & Hobbies:Model Railroads & Trains:HO Scale:Marx
1616,Toys & Hobbies:Stuffed Animals:Coca-Cola
1620,Toys & Hobbies:Beanbag Plush:Grateful Dead
1621,Toys & Hobbies:Beanbag Plush:Meanies
1627,Toys & Hobbies:Beanbag Plush:Ty:Attic
1628,Toys & Hobbies:Beanbag Plush:Ty:Beanie Buddies:Current
1633,Toys & Hobbies:Beanbag Plush:Ty:Pillow Pals
1634,Toys & Hobbies:Beanbag Plush:Ty:Classic:Current
1636,Toys & Hobbies:Beanbag Plush:Ty:Classic:Retired
1637,Toys & Hobbies:Beanbag Plush:Ty:Sports Commemorative
2020,Sporting Goods:Outdoor Sports:Camping & Hiking:Other
2021,Sporting Goods:Outdoor Sports:Camping & Hiking:Backpacks:Other
2022,Sporting Goods:Team Sports:Baseball & Softball:Other Baseball & Softball
2023,Sporting Goods:Team Sports:Basketball:Other Basketball
2024,Sporting Goods:Team Sports:Football:Other Football
2033,"Home & Garden:Yard, Garden & Outdoor Living:Flowers, Trees & Plants:Other Flowers, Trees & Plants"
2034,"Home & Garden:Yard, Garden & Outdoor Living:Garden Decor:Other Garden Decor"
2035,"Home & Garden:Yard, Garden & Outdoor Living:Gardening Supplies:Publications & Software"
2228,"Books:Textbooks, Education"
2387,Dolls & Bears:Dolls:By Type:Celebrity
2388,Dolls & Bears:Dolls:By Material:Composition
2389,Dolls & Bears:Dolls:Doll Making & Repair:Other Doll Making & Repair
2390,"Dolls & Bears:Dolls:By Brand, Company, Character:Horsman"
2391,Dolls & Bears:Dolls:By Type:Nesting
2392,Dolls & Bears:Dolls:By Material:Polymer
2394,Dolls & Bears:Dolls:By Material:Porcelain:Contemporary (1980-Now):Other Contemp. Porcelain Dolls:
2395,Dolls & Bears:Dolls:By Material:Resin
2396,Dolls & Bears:Dolls:By Material:Rubber
2397,"Dolls & Bears:Dolls:By Brand, Company, Character:Terri Lee"
2398,"Dolls & Bears:Dolls:By Brand, Company, Character:Uneeda"
2399,Dolls & Bears:Dolls:By Material:Vinyl:Contemporary (1970-Now)
2400,"Dolls & Bears:Dolls:By Brand, Company, Character:American Character:Other American Character Dolls"
2402,"Dolls & Bears:Dolls:By Brand, Company, Character:American Character:Sweet Sue"
2407,"Dolls & Bears:Dolls:By Brand, Company, Character:Annalee"
2411,Dolls & Bears:Dolls:By Material:Bisque:All Bisque
2412,Dolls & Bears:Dolls:By Material:Bisque:Bisque Head
2414,Dolls & Bears:Dolls:Doll Making & Repair:Parts
2415,Dolls & Bears:Dolls:Doll Making & Repair:Supplies
2416,"Dolls & Bears:Dolls:By Brand, Company, Character:Effanbee:Modern"
2418,"Dolls & Bears:Dolls:By Brand, Company, Character:Effanbee:Reproductions"
2419,"Dolls & Bears:Dolls:By Brand, Company, Character:Effanbee:Vintage"
2421,"Dolls & Bears:Dolls:By Brand, Company, Character:Dawn"
2422,"Dolls & Bears:Dolls:By Brand, Company, Character:Jem"
2423,"Dolls & Bears:Dolls:By Brand, Company, Character:Takara"
2425,"Dolls & Bears:Dolls:By Brand, Company, Character:Ideal:Toni"
2426,"Dolls & Bears:Dolls:By Brand, Company, Character:Ideal:Shirley Temple"
2428,"Dolls & Bears:Dolls:By Brand, Company, Character:Ideal:Playpals"
2429,"Dolls & Bears:Dolls:By Brand, Company, Character:Ideal:Revlon"
2430,"Dolls & Bears:Dolls:By Brand, Company, Character:Ideal:Crissy Family"
2432,"Dolls & Bears:Dolls:By Brand, Company, Character:Madame Alexander:Modern (1970-Now):6-8 Inches:"
2433,"Dolls & Bears:Dolls:By Brand, Company, Character:Madame Alexander:Vintage (Pre-1973):1948-59:"
2435,"Dolls & Bears:Dolls:By Brand, Company, Character:Mattel:Chatty Cathy"
2436,"Dolls & Bears:Dolls:By Brand, Company, Character:Mattel:Kiddles"
2437,"Dolls & Bears:Dolls:By Brand, Company, Character:Madeline"
2438,"Dolls & Bears:Dolls:By Brand, Company, Character:Sailor Moon"
2441,Dolls & Bears:Paper Dolls:Magazine
2442,Dolls & Bears:Paper Dolls:Modern
2443,Dolls & Bears:Paper Dolls:Reproductions
2444,Dolls & Bears:Paper Dolls:Vintage
2445,Dolls & Bears:Dollhouse Miniatures:Houses:Kits
2446,Dolls & Bears:Dolls:By Material:Wood
2447,Dolls & Bears:Dolls:By Material:Other Dolls by Material
2450,Dolls & Bears:Dolls:Barbie Contemporary (1973-Now):Friends & Family:Other Contemp. Barbie Friends
2452,Dolls & Bears:Dolls:Barbie Vintage (Pre-1973):Friends & Family:Other Vintage Barbie Friends
2454,Dolls & Bears:Dolls:Barbie Vintage (Pre-1973):Clothing & Accessories:Clothing
2455,Dolls & Bears:Dolls:Barbie Vintage (Pre-1973):Clothing & Accessories:Shoes
2456,Dolls & Bears:Dollhouse Miniatures:Houses:Other
2458,Dolls & Bears:Dollhouse Miniatures:Doll Houses
2459,Dolls & Bears:Dollhouse Miniatures:Miniatures:Contemporary (1970-Now):Other
2460,Dolls & Bears:Dollhouse Miniatures:Miniatures:Contemporary (1970-Now):Furniture & Home Decor:Other:
2461,Dolls & Bears:Dollhouse Miniatures:Artist Offerings
2462,Dolls & Bears:Dollhouse Miniatures:Miniatures:Contemporary (1970-Now):People
2463,Dolls & Bears:Dollhouse Miniatures:Houses:Handcrafted
2464,Dolls & Bears:Dollhouse Miniatures:Houses:Vintage
2465,"Toys & Hobbies:Action Figures:TV, Movie & Video Games:A-Team"
2466,Toys & Hobbies:Action Figures:Military & Adventure:Marx
2467,Toys & Hobbies:Action Figures:Military & Adventure:GI Joe:3 3/4-inch:1980-2002:
2470,"Toys & Hobbies:Action Figures:TV, Movie & Video Games:Masters of the Universe:Mixed Lots"
2471,Toys & Hobbies:Action Figures:Transformers & Robots:Micronauts
2472,Toys & Hobbies:Action Figures:Comic Book Heroes:Spawn
2474,"Toys & Hobbies:Action Figures:TV, Movie & Video Games:Star Wars:NeoClassic (1990-2000):Other:"
2475,"Toys & Hobbies:Action Figures:TV, Movie & Video Games:Star Wars:Episodes 4-6 (1977-1989):Other:"
2476,"Toys & Hobbies:Action Figures:TV, Movie & Video Games:Star Wars:Episodes 1-3 (1999-2005):Other:"
2480,Toys & Hobbies:Action Figures:Comic Book Heroes:Batman:1980-Now
2481,Toys & Hobbies:Action Figures:Comic Book Heroes:Spider-Man
2482,Toys & Hobbies:Action Figures:Comic Book Heroes:Superman
2483,Toys & Hobbies:Action Figures:Comic Book Heroes:X-Men
2484,Toys & Hobbies:Action Figures:Transformers & Robots:Transformers:Beast Machines
2485,Toys & Hobbies:Action Figures:Transformers & Robots:Transformers:Beast Wars
2487,Toys & Hobbies:Action Figures:Sports:Baseball
2488,Toys & Hobbies:Action Figures:Sports:Basketball
2489,Toys & Hobbies:Action Figures:Sports:Football
2490,Toys & Hobbies:Action Figures:Sports:Hockey
2492,Toys & Hobbies:Action Figures:Anime:Voltron
2493,"Toys & Hobbies:Action Figures:TV, Movie & Video Games:Xena"
2498,Toys & Hobbies:Diecast & Toy Vehicles:Vehicle Banks:Contemporary Manufacture
2500,"Toys & Hobbies:Diecast & Toy Vehicles:Accessories, Parts & Display:Track"
2503,"Toys & Hobbies:Diecast & Toy Vehicles:Cars, Trucks & Vans:Diecast-Vintage Manufacture:Hot Wheels: Other (Pre-1980):"
2518,Toys & Hobbies:Educational:Other Educational Toys
2525,Toys & Hobbies:Preschool Toys & Pretend Play:Fisher-Price:1963-Now:Accessories
2527,Toys & Hobbies:Preschool Toys & Pretend Play:Fisher-Price:1963-Now:Little People (1963-1996)
2528,Toys & Hobbies:Preschool Toys & Pretend Play:Fisher-Price:1963-Now:Pull Toys
2529,Toys & Hobbies:Preschool Toys & Pretend Play:Fisher-Price:Pre-1963:Other Fisher-Price (Pre-1963)
2530,Toys & Hobbies:Games:Board & Traditional Games:Family Games:1990-Now
2531,Toys & Hobbies:Games:Board & Traditional Games:Fantasy Board Games
2532,Toys & Hobbies:Games:Board & Traditional Games:Financial Games:1970-Now
2533,Toys & Hobbies:Games:Board & Traditional Games:Family Games:Pre-1970
2535,Toys & Hobbies:Collectible Card Games:Other CCG Items
2537,"Toys & Hobbies:Games:Miniatures, War Games:Other Miniatures & War Games"
2539,"Toys & Hobbies:Games:Board & Traditional Games:Yahtzee, Dice Games"
2540,Toys & Hobbies:Games:Electronic Games
2544,Toys & Hobbies:Games:Role Playing Games:Accessories
2545,Toys & Hobbies:Games:Role Playing Games:Dungeons & Dragons:Other Dungeons & Dragons
2546,Toys & Hobbies:Games:Role Playing Games:Horror
2547,Toys & Hobbies:Games:Role Playing Games:Science Fiction
2548,Toys & Hobbies:Games:Role Playing Games:Super Hero
2551,Toys & Hobbies:Games:Board & Traditional Games:Backgammon
2552,Toys & Hobbies:Games:Card Games & Poker:Other Card Games & Poker
2553,Toys & Hobbies:Games:Board & Traditional Games:Checkers
2554,Toys & Hobbies:Games:Board & Traditional Games:Chess:1990-Now
2555,Toys & Hobbies:Games:Board & Traditional Games:Dominoes
2556,Toys & Hobbies:Games:Board & Traditional Games:Mah Jong:1970-Now
2558,Toys & Hobbies:Games:Board & Traditional Games:War Board Games
2564,Toys & Hobbies:Radio Control & Control Line:Radio Control Vehicles:Boats & Watercraft
2567,Toys & Hobbies:Models & Kits:Rocketry
2568,Toys & Hobbies:Educational:Science & Nature:Microscopes & Chemistry
2569,Toys & Hobbies:Outdoor Toys & Structures:Kites
2570,Toys & Hobbies:Marbles:1970-Now:Machine Made
2573,Toys & Hobbies:Marbles:Pre-1970:Machine Made
2574,Toys & Hobbies:Preschool Toys & Pretend Play:Little Tikes:Child Size
2575,Toys & Hobbies:Preschool Toys & Pretend Play:Playmobil
2576,Toys & Hobbies:Preschool Toys & Pretend Play:Playskool
2581,Toys & Hobbies:Models & Kits:Automotive:Classic
2582,Toys & Hobbies:Models & Kits:Automotive:Hot Rod
2583,Toys & Hobbies:Models & Kits:Automotive:Sports:Other Sports Car Models & Kits
2584,Toys & Hobbies:Models & Kits:Automotive:Truck
2585,Toys & Hobbies:Models & Kits:Automotive:Vintage
